Initializing...
Please connect ESCs
Controller is initialized.
Starting...
time: 20004, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: 0.00
time: 20115, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.00, wy: -0.00, wz: 0.00
time: 20226, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: 0.00, wz: 0.00
time: 20335, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: 0.00
time: 20446, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: 0.00
time: 20555, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: 0.00, wz: 0.00
time: 20666, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: 0.00
time: 20775, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: 0.00
time: 20886, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: 0.00, wz: 0.00
time: 20997, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.00, wy: -0.00, wz: 0.00
time: 21106, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.00, wy: 0.00, wz: -0.00
time: 21217, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: 0.00, wy: -0.00, wz: -0.00
time: 21326, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.00, wy: -0.00, wz: -0.00
time: 21437, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.00, wy: -0.00, wz: -0.00
time: 21548, yaw: 0.19, pitch: -0.04, roll: 0.01, wx: -0.03, wy: 0.02, wz: -0.00
time: 21657, yaw: 0.19, pitch: -0.04, roll: 0.00, wx: 0.02, wy: -0.05, wz: -0.12
time: 21768, yaw: 0.18, pitch: -0.04, roll: 0.00, wx: 0.02, wy: 0.07, wz: -0.15
time: 21877, yaw: 0.14, pitch: -0.04, roll: 0.02, wx: 0.20, wy: -0.06, wz: -0.44
time: 21988, yaw: 0.09, pitch: -0.04, roll: 0.03, wx: -0.02, wy: 0.09, wz: -0.58
time: 22097, yaw: 0.03, pitch: -0.02, roll: 0.04, wx: 0.06, wy: 0.04, wz: -0.56
